Country ID,Country,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"GHG total without LULUCF, latest year  
1000 t of
 CO₂ equivalent ",% change since 1990,"GHG emissions per capita,
latest year 
kg of CO₂ equivalent"
178,Congo,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"1,374.69",...,...,...,...,...,"2,065.05",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,2065.05,...,0.66
184,Cook Islands,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,80.30,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,80.30,...,4.21
188,Costa Rica,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","6,091.36",...,...,...,...,...,"10,794.44",...,...,...,"11,033.31",...,...,...,...,"12,114.03",...,...,...,...,...,...,...,...,...,...,...,...,...,2005,12114.03,98.87,2.83
384,Côte d’Ivoire,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"24,726.54",...,...,...,...,...,"271,197.46",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,271197.46,...,16.48
191,Croatia,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","31,875.85","25,034.42","23,037.60","23,009.78","22,116.19","22,739.43","23,288.23","24,534.40","24,923.52","26,053.24","25,708.82","26,894.15","28,007.78","29,468.13","29,465.49","29,920.38","30,299.87","31,726.83","30,822.85","28,468.42","28,033.73","27,707.92","25,887.46","24,463.77","23,697.28","24,125.31","24,275.34","25,032.08","23,792.80",2018,23792.80,-25.36,5.72
192,Cuba,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","47,641.49",...,"33,265.77",...,"32,590.16",...,"37,331.09",...,"39,023.34",...,"37,697.20",...,"36,296.71",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2002,36296.71,-23.81,3.24
196,Cyprus,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","5,690.44","6,207.65","6,662.69","6,944.99","7,204.88","7,143.86","7,490.33","7,581.99","7,909.48","8,187.10","8,457.56","8,401.04","8,634.01","9,023.85","9,235.40","9,390.60","9,600.37","9,943.99","10,094.96","9,849.21","9,518.12","9,167.14","8,631.48","7,915.92","8,291.26","8,345.50","8,794.10","8,974.40","8,811.61",2018,8811.61,54.85,7.41
203,Czechia,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","197,202.55","178,986.52","172,533.93","164,898.96","157,406.67","156,526.03","159,559.05","154,994.17","148,844.49","139,281.76","149,457.61","149,497.29","145,776.80","148,967.36","150,048.22","147,905.91","149,080.89","150,918.18","146,084.37","137,219.22","139,900.21","138,359.07","134,202.23","128,984.26","126,856.68","128,303.74","130,134.22","129,059.00","127,449.60",2018,127449.60,-35.37,11.95
408,Democratic People's Republic of Korea,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","207,544.00",...,...,...,"157,529.00",...,...,...,...,...,"81,892.00",...,"87,330.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2002,87330.00,-57.92,3.74
180,Democratic Republic of the Congo,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"44,641.58",...,...,...,...,"48,207.00","46,749.16","46,007.38","45,914.01","45,998.98",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2003,45998.98,...,0.89
