PROVINCIAS,CANTONES,DPA,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
ESMERALDAS,MUISNE,0803,29534,29767,29983,30183,30366,30532,30680,30811,30926,31025,31106,31174,31227,31266,31291,31303,31301,31287,31258,31218,31164
ESMERALDAS,QUININDE,0804,126665,128807,130910,132965,134973,136925,138826,140670,142462,144198,145879,147508,149085,150610,152083,153506,154877,156194,157456,158662,159808
ESMERALDAS,SAN LORENZO,0805,43498,45242,47031,48859,50727,52634,54584,56570,58596,60662,62772,64920,67110,69341,71620,73938,76299,78701,81151,83636,86161
ESMERALDAS,ATACAMES,0806,42700,43949,45211,46479,47754,49033,50319,51607,52899,54195,55495,56796,58100,59408,60720,62032,63347,64662,65978,67291,68601
ESMERALDAS,RIOVERDE,0807,27786,28209,28622,29023,29413,29789,30152,30503,30840,31164,31475,31774,32061,32335,32597,32848,33087,33313,33526,33727,33915
ESMERALDAS,LA CONCORDIA,0808,44304,45187,46062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUAYAS,GUAYAQUIL,0901,2440553,2471180,2501423,2531223,2560505,2589229,2617349,2644891,2671801,2698077,2723665,2748613,2772894,2796487,2819334,2841484,2862864,2883425,2903138,2922043,2940062
GUAYAS,ALFREDO BAQUERIZO MORENO,0902,26031,26623,27220,27822,28426,29034,29646,30259,30874,31491,32110,32730,33352,33974,34596,35219,35841,36461,37080,37697,38311
GUAYAS,BALAO,0903,21212,21709,22212,22718,23228,23741,24258,24777,25299,25822,26348,26876,27405,27935,28468,29000,29532,30065,30597,31127,31656
GUAYAS,BALZAR,0904,56081,56571,57046,57507,57953,58382,58792,59186,59563,59921,60260,60582,60887,61173,61439,61687,61917,62126,62314,62482,62630
GUAYAS,COLIMES,0905,24354,24567,24773,24973,25167,25353,25531,25702,25866,26022,26169,26309,26441,26565,26680,26788,26888,26979,27060,27134,27198
GUAYAS,DAULE,0906,123735,128192,132777,137473,142287,147219,152276,157446,162734,168144,173684,179337,185116,191018,197055,203207,209481,215876,222404,229041,235795
