Country ID,Country,Description,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"GHG total without LULUCF, latest year  
1000 t of
 CO₂ equivalent ",% change since 1990,"GHG emissions per capita,
latest year 
kg of CO₂ equivalent"
524,Nepal,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"31,188.87",...,...,...,...,...,"26,031.33",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,26031.33,...,1.09
528,Netherlands,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","220,740.87","228,385.56","229,110.63","229,867.60","230,750.53","230,937.80","241,763.55","233,603.08","234,161.15","220,828.43","219,239.07","219,714.04","217,608.55","218,291.27","219,893.84","214,226.59","209,176.56","207,676.79","207,040.28","201,382.08","213,281.34","199,175.46","195,272.03","194,878.14","187,184.61","195,422.37","194,991.61","192,876.47","187,756.39",2018,187756.39,-14.94,11.01
554,New Zealand,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","63,590.93","64,453.52","65,668.78","65,433.40","66,679.18","67,426.24","69,549.34","72,259.28","70,221.38","72,059.93","74,103.08","77,105.36","77,474.96","79,643.61","79,294.83","81,274.42","81,455.21","79,415.58","79,526.33","76,771.18","77,267.81","76,975.49","79,401.58","78,804.91","79,449.84","79,493.71","77,623.31","79,640.86","78,862.29",2018,78862.29,24.02,16.63
558,Nicaragua,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"7,651.84",...,...,...,...,...,"11,980.64",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,11980.64,...,2.36
562,Niger,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","4,852.38",...,...,...,...,...,...,...,...,...,"13,627.00",...,...,...,...,...,...,...,"15,520.00",...,...,...,...,...,...,...,...,...,...,2008,15520.00,219.84,1.02
566,Nigeria,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"242,626.40",...,...,...,...,...,"212,444.00",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000,212444.00,...,1.74
570,Niue,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,4.42,...,...,...,...,...,4.85,...,...,...,...,5.57,6.74,8.15,4.87,26.08,...,...,...,...,...,...,...,...,...,2009,26.08,...,16.08
807,North Macedonia,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","13,257.34","12,496.89","11,880.30","12,289.73","12,050.82","12,076.94","11,612.05","12,268.55","12,900.85","12,435.15","12,092.05","12,121.15","12,232.14","12,284.35","12,417.18","13,034.86","11,938.33","12,404.59","12,484.65","11,491.30",...,...,...,...,...,...,...,...,...,2009,11491.30,-13.32,5.55
578,Norway,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent","51,459.02","49,199.53","47,536.73","49,405.88","51,267.85","51,620.17","54,604.38","54,596.46","54,758.82","55,717.70","55,114.75","56,348.39","55,289.87","55,795.67","56,190.76","55,403.47","55,355.14","57,008.70","55,587.36","53,179.20","55,468.97","54,643.09","54,121.12","53,969.36","53,930.25","54,353.97","53,472.21","52,386.53","52,022.40",2018,52022.40,1.09,9.75
512,Oman,"Time Series - Greenhouse Gas Emissions (GHG) total without LULUCF, in 1000 tonnes of CO2 equivalent",...,...,...,...,"20,878.67",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1994,20878.67,...,9.72
